CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,CAT_OCUP,EMPLEO,PP02B,PP02E,PP02H,PP02I,PP03C,PP03G,PP03I,PP04A,PP04G,PP05B3,PP05H,PP05I,PP05J,PP05K,PP07A,PP07I3,PP07J,PP07K,PP08D1,P21,ITF,DECINDR,IPCF,ANIO,CH03,CH12,CH13,CH14,PP3E_TOT,PP3F_TOT,horastrab,trabaja,adulto_equiv,ad_equiv_hogar,ingreso_necesario,pobre,edad2,educ,edad_rango,ingreso_total_familiar,ingreso_total_familiar_millones,CH03_str,IX_TOT
TQRMNOYWQHKOKUCDEGPDJ00857938,1,2,2,30,1,4,5,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,3.0,600000.0,600000,1729000,7,432250.0,2025,2.0,6.0,2.0,3.0,40.0,0.0,40.0,1,0.77,3.22,1175869.9400000002,0,900,15.0,18-30,1729000.0,1.729,2,4.0
TQRMNOQQVHMOKQCDEGPDJ00880689,1,1,1,61,2,4,4,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,11.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000,948100,5,316033.33,2025,1.0,4.0,1.0,9.0,48.0,0.0,48.0,1,0.83,2.35,858165.9500000001,0,3721,12.0,50+,948100.0,0.9481,1,3.0
TQRMNOQQVHMOKQCDEGPDJ00880689,1,2,2,60,2,4,4,3.0,4.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,948100,0,316033.33,2025,2.0,4.0,1.0,9.0,,,0.0,0,0.76,2.35,858165.9500000001,0,3600,12.0,50+,948100.0,0.9481,2,3.0
TQRMNOQQVHMOKQCDEGPDJ00880689,1,3,2,24,5,4,5,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,320100.0,320100,948100,3,316033.33,2025,3.0,6.0,2.0,4.0,30.0,0.0,30.0,1,0.76,2.35,858165.9500000001,0,576,,18-30,948100.0,0.9481,3,3.0
TQRMNOQVSHKMKSCDEGPDJ00857937,1,1,1,60,3,1,4,3.0,1.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,900000,7,900000.0,2025,1.0,4.0,1.0,9.0,,,0.0,0,1.0,1.0,365177.0,0,3600,12.0,50+,900000.0,0.9,1,1.0
TQRMNOQWVHJOLOCDEGPDJ00877047,1,1,2,44,3,4,5,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,1.0,4.0,160000.0,160000,566000,4,188666.67,2025,1.0,6.0,2.0,2.0,35.0,3.0,38.0,1,0.77,2.5300000000000002,923897.81,1,1936,14.0,31-50,566000.0,0.566,1,3.0
TQRMNOQWVHJOLOCDEGPDJ00877047,1,2,1,22,5,4,4,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,150000.0,150000,566000,1,188666.67,2025,3.0,4.0,1.0,9.0,40.0,0.0,40.0,1,1.02,2.5300000000000002,923897.81,1,484,12.0,18-30,566000.0,0.566,3,3.0
TQRMNOQWVHJOLOCDEGPDJ00877047,1,3,2,12,5,4,1,3.0,3.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,566000,0,188666.67,2025,3.0,2.0,2.0,6.0,,,0.0,0,0.74,2.5300000000000002,923897.81,1,144,6.0,6-12,566000.0,0.566,3,3.0
TQRMNOSYTHLNKOCDEGOIH00853387,1,1,2,45,5,3,3,3.0,4.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,340000,3,340000.0,2025,1.0,4.0,2.0,2.0,,,0.0,0,0.77,0.77,281186.29,0,2025,8.0,31-50,340000.0,0.34,1,1.0
TQRMNOQRUHLOKPCDEGOIH00853388,1,1,1,71,4,1,2,3.0,4.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,330000,3,330000.0,2025,1.0,2.0,1.0,,,,0.0,0,0.83,0.83,303096.91,0,5041,6.0,50+,330000.0,0.33,1,1.0
